"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
7.0,1.0,30.45494,23.494177,10.803145,33.77577,12.250374,42.712246,12.766452,15.844777,36.544403,16.681982,18.018105,20.273218,22.985035,14.186983
7.0,2.0,39.297096,30.794954,10.01254,38.689747,20.44283,69.67906,28.544718,24.31425,48.423725,18.17427,30.96844,23.372877,28.07119,NaN
7.0,3.0,47.222733,34.38943,9.678368,43.171185,NaN,74.08154,NaN,25.91552,72.81514,45.901188,32.49333,15.553546,28.950182,NaN
7.0,4.0,61.33171,66.62343,NaN,45.425777,NaN,122.34998,NaN,43.361275,87.35732,47.461742,55.894276,15.070411,32.44055,NaN
7.0,5.0,69.055,57.988018,NaN,59.135212,NaN,106.05732,NaN,63.648533,87.824394,29.780363,63.160465,16.392618,32.791668,NaN
7.0,6.0,76.18679,57.863262,NaN,59.84126,NaN,110.93756,NaN,64.984,85.339294,30.81922,65.201904,16.779501,NaN,NaN
7.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,9.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,11.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,12.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,13.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,14.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
