"Mean abundance (number of fish), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
26.0,4.4013548E7,1.41221312E8,1.95931994E9,1.33896368E8,2.34366182E9,3580578.5,4.976513E9,1.39276723E9,4.0769612E7,2.37727601E10,1.79265626E9,1.39599647E10,2.61976105E10,4.4450273E9
27.0,5.6318332E7,1.40862464E8,2.3901225E9,1.0736228E8,1.79976141E9,2860965.8,6.339136E9,1.48072256E9,3.5543124E7,2.91141878E10,1.79915277E9,1.12034673E10,2.78777405E10,1.06592038E9
28.0,7.6210768E7,1.43338496E8,2.45910298E9,1.05550528E8,1.58904896E9,2447858.2,7.7686124E9,1.55156262E9,4.4053728E7,3.5717263E10,2.07523853E9,1.45139261E10,2.96597729E10,1.13635059E9
29.0,9.0592816E7,1.54989376E8,2.70368768E9,8.843548E7,1.49181952E9,2379299.2,8.5161211E9,1.42165594E9,5.3941632E7,3.4806403E10,3.81916211E9,1.35870351E10,3.03833641E10,2.01355226E9
30.0,1.01824384E8,1.76534112E8,2.55035341E9,9.2856624E7,1.55065958E9,2271416.5,8.1154831E9,1.16454592E9,3.7047268E7,3.41540106E10,4.20943693E9,1.02596198E10,2.56443884E10,1.97121933E9
31.0,1.21840136E8,1.96600656E8,1.82975027E9,1.02104464E8,1.78350374E9,2679603.5,6.4812283E9,1.33397798E9,4.30258E7,2.99737518E10,3.35810099E9,8.8199414E9,2.3104809E10,2.31778125E9
32.0,1.2975536E8,1.90414896E8,1.52918784E9,9.9267136E7,1.80506714E9,2240149.0,5.3005752E9,1.4211072E9,4.2922092E7,2.30457139E10,2.90855757E9,1.11328246E10,2.10422927E10,2.80522906E9
33.0,1.3493648E8,1.64966864E8,1.60329331E9,1.10346344E8,1.65247987E9,2581291.2,4.6197908E9,1.41826317E9,2.9777276E7,2.11115479E10,2.42781312E9,1.12276654E10,1.97428838E10,2.60387994E9
34.0,1.3851352E8,1.436916E8,1.78876019E9,1.2679744E8,1.52315827E9,2544718.8,6.3520983E9,1.62770816E9,3.775066E7,2.20811346E10,2.3308887E9,8.145707E9,1.97027185E10,1.73681792E9
35.0,1.53639104E8,1.32837504E8,2.47247104E9,1.15055552E8,1.4669463E9,2063923.8,6.9132012E9,1.49259814E9,3.5665256E7,2.15234109E10,1.63329331E9,9.610881E9,2.04418642E10,1.5796745E9
36.0,1.5406264E8,1.181936E8,1.88525094E9,1.19437144E8,1.96980954E9,2159865.0,5.9321242E9,1.48550067E9,2.7118348E7,1.84521974E10,1.14811277E9,1.50157169E10,2.2938026E10,1.8842144E9
37.0,1.6466544E8,1.12854512E8,1.7754505E9,1.22151768E8,2.15028685E9,2094354.5,6.9728906E9,1.72599629E9,2.2630704E7,1.60496876E10,7.6463558E8,2.21378212E10,2.4240554E10,1.81475712E9
38.0,1.65324832E8,1.11369832E8,1.86935885E9,1.0181952E8,2.07359334E9,2125178.5,7.4644705E9,1.80703731E9,3.8241616E7,1.40484516E10,5.6840026E8,1.84536801E10,2.26013061E10,2.35196262E9
39.0,1.76234384E8,9.16116E7,2.57674829E9,1.06737864E8,1.8556288E9,1879672.4,8.6743173E9,1.5458039E9,3.7964296E7,1.87055616E10,5.5946784E8,1.70548449E10,2.61430354E10,1.80573389E9
40.0,2.01753904E8,9.9727008E7,2.4309719E9,9.3695336E7,2.02079091E9,2499343.8,8.3191537E9,1.54444045E9,4.6804224E7,2.88944886E10,9.321735E8,1.07844516E10,2.476109E10,4.25251866E9
