"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
12.0,0.009785855304807866,1.1030189481030186,0.9751044455655674,0.0,0.012272142562283256,0.003980917400206339,0.8947797042484398,0.08671726161093676,0.08665140872687634,0.0,0.0,0.025944707260302225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,0.007551322451620781,1.4452818202938074,1.1042647908880345,0.0,0.01384457496441632,0.006037169909874429,0.8945424621849775,0.08647565562803901,0.08655296460253413,0.0,0.0,0.023511758453504308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14.0,4.803917026561575E-4,1.281555279217702,0.5995396611553552,0.0,0.013132026763080926,0.01095652496507107,0.8938003675490328,0.0866389848121025,0.08681448170195202,0.0,0.0,0.01909580168595893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15.0,0.0059821645236830465,1.2091715526943176,0.6184428666095106,0.0,0.012522525647468126,0.012321585800178555,0.8943781439385171,0.0865954527689814,0.08686494859001033,0.0,0.0,0.012084700947576061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16.0,1.2201021491274509E-4,0.7761737717315595,0.5906456546535128,0.0,0.020185805989523714,0.00722165379880678,0.893762791445308,0.08682670749206824,0.08687032749594335,0.0,0.0,0.015632827847861176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17.0,0.015806157496590565,0.5553641951966507,0.7156822594945421,0.0,0.023955981285118177,0.008743441640441506,0.8954127463654699,0.08693017958213407,0.08694128339416778,0.0,0.0,0.01712940003608817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18.0,0.0010097814185498232,0.5853565927428144,0.7297371276052697,0.0,0.022406618705481614,0.005626606091511758,0.8938558778831115,0.08694959997590614,0.08691243204396065,0.0,0.0,0.018202724261199645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19.0,0.005147021005022521,0.8869048182755629,0.9590296272181754,0.0,0.01742799151594872,0.00440982832408807,0.8942904844376867,0.08691314708936523,0.08670050081038433,0.0,0.0,0.020096509811973313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20.0,0.005577486188478919,1.0092816895176846,0.8890359474254483,0.0,0.01648172048051071,0.0034862171373048942,0.8943356731163753,0.08678070120939588,0.08680841273523575,0.0,0.0,0.025926060410946257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21.0,0.012580240142418177,0.8024902008914022,0.8272497777671775,0.0,0.027548526714876717,0.009648526764402322,0.8950711397347905,0.08680747282325145,0.08690345158511045,0.0,0.0,0.026731586095525874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22.0,0.024203318015632736,0.7999327438859783,0.8737975817411967,0.0,0.026138417531596105,0.0060218046745849334,0.8962966495964669,0.08687251218763187,0.08680386458893376,0.0,0.0,0.02529771295685569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23.0,0.015987235702755554,0.5461780324032526,0.7158119487517351,0.0,0.03445037499894868,0.014366171984920746,0.8954378470333221,0.08688845733575694,0.08689177600495239,0.0,0.0,0.017682685277060763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24.0,0.006840857919522389,0.6857286499907066,0.6332210943072946,0.0,0.0309667416687101,0.009953314544102847,0.8944687046899018,0.08682117302086266,0.08686533700407739,0.0,0.0,0.013666065581316089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
