year,month,lesserSpottedDogfish,redMullet,pouting,whiting,poorCod,cod,dragonet,sole,plaice,horseMackerel,mackerel,herring,sardine,squids,cuttlefish,thornbackRay
2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,5,NA,NA,NA,NA,NA,4148,NA,NA,NA,NA,19403,NA,NA,NA,NA,NA
2014,6,NA,NA,NA,23088,NA,NA,NA,16545,47320,NA,NA,NA,NA,NA,NA,NA
2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,8,1.11,398.12,NA,NA,NA,NA,NA,NA,NA,0.326,NA,NA,NA,NA,NA,NA
2014,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143286,NA,NA,NA,NA
2014,10,NA,NA,5775362,NA,4770207,NA,422856,NA,NA,NA,NA,NA,NA,6401396,499434,NA
2014,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68
2015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,5,NA,NA,NA,NA,NA,3759,NA,NA,NA,NA,27301,NA,NA,NA,NA,NA
2015,6,NA,NA,NA,29555,NA,NA,NA,14485,48308,NA,NA,NA,NA,NA,NA,NA
2015,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,8,1.56,449.65,NA,NA,NA,NA,NA,NA,NA,0.445,NA,NA,NA,NA,NA,NA
2015,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181911,NA,NA,NA,NA
2015,10,NA,NA,5447547,NA,1849380,NA,96406,NA,NA,NA,NA,NA,NA,2993817,411993,NA
2015,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74
2016,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,NA,NA,NA,NA,NA,1135,NA,NA,NA,NA,37083,NA,NA,NA,NA,NA
2016,6,NA,NA,NA,30794,NA,NA,NA,14005,50524,NA,NA,NA,NA,NA,NA,NA
2016,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,8,1.34,116.68,NA,NA,NA,NA,NA,NA,NA,0.521,NA,NA,NA,NA,NA,NA
2016,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172551,NA,NA,NA,NA
2016,10,NA,NA,578219,NA,2072063,NA,51731,NA,NA,NA,NA,NA,NA,2861428,285992,NA
2016,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
2017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,5,NA,NA,NA,NA,NA,436,NA,NA,NA,NA,26362,NA,NA,NA,NA,NA
2017,6,NA,NA,NA,31669,NA,NA,NA,12066,49390,NA,NA,NA,NA,NA,NA,NA
2017,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,8,1.12,160.89,NA,NA,NA,NA,NA,NA,NA,0.134,NA,NA,NA,NA,NA,NA
2017,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141879,NA,NA,NA,NA
2017,10,NA,NA,597889,NA,3023203,NA,435709,NA,NA,NA,NA,NA,174637,7246383,435568,NA
2017,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
2018,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,24010,NA,NA,NA,NA,NA
2018,6,NA,NA,NA,32981,NA,NA,NA,11858,43844,NA,NA,NA,NA,NA,NA,NA
2018,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,8,1.31,174.55,NA,NA,NA,NA,NA,NA,NA,0.113,NA,NA,NA,NA,NA,NA
2018,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134769,NA,NA,NA,NA
2018,10,NA,NA,135544,NA,432731,NA,142016,NA,NA,NA,NA,NA,145514,5518004,589615,NA
2018,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
2019,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,5,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,20970,NA,NA,NA,NA,NA
2019,6,NA,NA,NA,25899,NA,NA,NA,11109,37648,NA,NA,NA,NA,NA,NA,NA
2019,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,8,1.28,482.9,NA,NA,NA,NA,NA,NA,NA,0.201,NA,NA,NA,NA,NA,NA
2019,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132569,NA,NA,NA,NA
2019,10,NA,NA,774384,NA,1220429,NA,378811,NA,NA,NA,NA,NA,374617,3524974,2288221,NA
2019,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,21438,NA,NA,NA,NA,NA
2020,6,NA,NA,NA,22914,NA,NA,NA,11013,33796,NA,NA,NA,NA,NA,NA,NA
2020,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,8,1.31,331.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119788,NA,NA,NA,NA
2020,10,NA,NA,6957115,NA,828146,NA,410075,NA,NA,NA,NA,NA,332098,3709772,1899694,NA
2020,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05
2021,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,5,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,6,NA,NA,NA,38457,NA,NA,NA,12421,31442,NA,NA,NA,NA,NA,NA,NA
2021,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,8,NA,238.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112767,NA,NA,NA,NA
2021,10,NA,NA,18242519,NA,1704043,NA,639881,NA,NA,NA,NA,NA,227117,6573717,1712254,NA
2021,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
