year,species,fleet,yield_data
2007,sardine,netters,0.12812
2008,sardine,netters,0.3316
2009,sardine,netters,0.85723
2010,sardine,netters,0.0494
2011,sardine,netters,0.523
2012,sardine,netters,0.47987
2013,sardine,netters,0.41461
2014,sardine,netters,0.0181
2015,sardine,netters,0.62336
2016,sardine,netters,0.05597
2018,sardine,netters,0.06872
2019,sardine,netters,0.11116
2020,sardine,netters,0.1664
2021,sardine,netters,0.01144
2022,sardine,netters,0.99601
2002,plaice,netters,1190.47268
2003,plaice,netters,776.31944
2004,plaice,netters,844.87287
2005,plaice,netters,680.24495
2006,plaice,netters,502.65288
2007,plaice,netters,683.39822
2008,plaice,netters,578.0774
2009,plaice,netters,446.2722
2010,plaice,netters,521.98141
2011,plaice,netters,544.43602
2012,plaice,netters,600.45447
2013,plaice,netters,615.12452
2014,plaice,netters,640.46314
2015,plaice,netters,368.30154
2016,plaice,netters,407.85522
2017,plaice,netters,396.2201
2018,plaice,netters,245.65141
2019,plaice,netters,136.23115
2020,plaice,netters,108.57503
2021,plaice,netters,88.7919
2022,plaice,netters,68.34074
2002,thornbackRay,netters,0.36756
2003,thornbackRay,netters,1.54652
2004,thornbackRay,netters,1.34944
2005,thornbackRay,netters,50.47126
2006,thornbackRay,netters,15.8428
2007,thornbackRay,netters,6.62892
2008,thornbackRay,netters,21.05614
2009,thornbackRay,netters,135.91857
2010,thornbackRay,netters,68.40381
2011,thornbackRay,netters,76.11237
2012,thornbackRay,netters,64.31642
2013,thornbackRay,netters,123.43344
2014,thornbackRay,netters,135.13752
2015,thornbackRay,netters,131.4583
2016,thornbackRay,netters,150.41058
2017,thornbackRay,netters,111.17566
2018,thornbackRay,netters,190.14214
2019,thornbackRay,netters,142.05298
2020,thornbackRay,netters,118.71138
2021,thornbackRay,netters,101.90959
2022,thornbackRay,netters,103.89038
2002,sole,netters,2033.32791
2003,sole,netters,2495.41947
2004,sole,netters,2171.21967
2005,sole,netters,2082.5287
2006,sole,netters,1715.57097
2007,sole,netters,2085.85397
2008,sole,netters,2020.1005
2009,sole,netters,1854.31121
2010,sole,netters,1350.03015
2011,sole,netters,1454.69867
2012,sole,netters,1683.14796
2013,sole,netters,1910.3371
2014,sole,netters,1747.22155
2015,sole,netters,1237.14057
2016,sole,netters,870.78712
2017,sole,netters,745.76382
2018,sole,netters,677.99587
2019,sole,netters,400.08808
2020,sole,netters,352.81472
2021,sole,netters,359.37482
2022,sole,netters,384.61253
2002,squids,netters,2.05462
2003,squids,netters,5.40347
2004,squids,netters,4.19547
2005,squids,netters,1.12916
2006,squids,netters,4.16845
2007,squids,netters,9.56673
2008,squids,netters,2.59222
2009,squids,netters,1.54451
2010,squids,netters,3.50417
2011,squids,netters,1.78058
2012,squids,netters,2.16358
2013,squids,netters,0.85898
2014,squids,netters,0.23616
2015,squids,netters,9.70101
2016,squids,netters,0.81642
2017,squids,netters,1.63261
2018,squids,netters,0.86731
2019,squids,netters,0.55889
2020,squids,netters,0.32177
2021,squids,netters,0.15188
2022,squids,netters,0.47138
2002,lesserSpottedDogfish,netters,280.42793
2003,lesserSpottedDogfish,netters,325.30284
2004,lesserSpottedDogfish,netters,312.01184
2005,lesserSpottedDogfish,netters,609.9349
2006,lesserSpottedDogfish,netters,317.87223
2007,lesserSpottedDogfish,netters,271.84823
2008,lesserSpottedDogfish,netters,359.31661
2009,lesserSpottedDogfish,netters,304.02514
2010,lesserSpottedDogfish,netters,292.51268
2011,lesserSpottedDogfish,netters,340.37261
2012,lesserSpottedDogfish,netters,452.54957
2013,lesserSpottedDogfish,netters,439.97381
2014,lesserSpottedDogfish,netters,348.48608
2015,lesserSpottedDogfish,netters,447.27744
2016,lesserSpottedDogfish,netters,426.56012
2017,lesserSpottedDogfish,netters,437.84722
2018,lesserSpottedDogfish,netters,355.67917
2019,lesserSpottedDogfish,netters,330.49389
2020,lesserSpottedDogfish,netters,288.16592
2021,lesserSpottedDogfish,netters,286.94242
2022,lesserSpottedDogfish,netters,274.90365
2002,whiting,netters,67.24318
2003,whiting,netters,56.31107
2004,whiting,netters,49.38169
2005,whiting,netters,63.92191
2006,whiting,netters,47.59666
2007,whiting,netters,23.65549
2008,whiting,netters,25.13622
2009,whiting,netters,29.44231
2010,whiting,netters,39.07416
2011,whiting,netters,29.06785
2012,whiting,netters,29.44045
2013,whiting,netters,35.45472
2014,whiting,netters,26.49671
2015,whiting,netters,23.06781
2016,whiting,netters,15.09647
2017,whiting,netters,15.94308
2018,whiting,netters,10.17189
2019,whiting,netters,8.58579
2020,whiting,netters,5.25328
2021,whiting,netters,4.56589
2022,whiting,netters,2.89216
2002,pouting,others,23.40561
2003,pouting,others,20.24294
2004,pouting,others,15.92282
2005,pouting,others,12.97971
2006,pouting,others,10.04898
2007,pouting,others,29.31455
2008,pouting,others,65.7543
2009,pouting,others,54.56905
2010,pouting,others,53.39966
2011,pouting,others,56.99811
2012,pouting,others,34.36286
2013,pouting,others,28.1032
2014,pouting,others,25.46815
2015,pouting,others,36.92174
2016,pouting,others,76.12498
2017,pouting,others,93.50152
2018,pouting,others,112.82301
2019,pouting,others,77.59438
2020,pouting,others,49.07426
2021,pouting,others,82.31808
2022,pouting,others,106.45123
2002,cod,others,31.31326
2003,cod,others,12.83457
2004,cod,others,12.13833
2005,cod,others,7.19792
2006,cod,others,14.98333
2007,cod,others,26.24597
2008,cod,others,51.81187
2009,cod,others,72.92569
2010,cod,others,41.13047
2011,cod,others,32.2802
2012,cod,others,24.10857
2013,cod,others,25.49557
2014,cod,others,34.37051
2015,cod,others,58.56474
2016,cod,others,33.32025
2017,cod,others,25.2789
2018,cod,others,8.3561
2019,cod,others,3.6164
2020,cod,others,2.42211
2021,cod,others,0.40603
2022,cod,others,1.13115
2002,cuttlefish,others,143.64477
2003,cuttlefish,others,456.02204
2004,cuttlefish,others,616.1691
2005,cuttlefish,others,551.74191
2006,cuttlefish,others,387.47257
2007,cuttlefish,others,525.09849
2008,cuttlefish,others,345.99141
2009,cuttlefish,others,303.43188
2010,cuttlefish,others,612.54223
2011,cuttlefish,others,595.5449
2012,cuttlefish,others,835.45022
2013,cuttlefish,others,785.50402
2014,cuttlefish,others,369.08754
2015,cuttlefish,others,514.69185
2016,cuttlefish,others,752.42609
2017,cuttlefish,others,464.06676
2018,cuttlefish,others,483.65404
2019,cuttlefish,others,764.91624
2020,cuttlefish,others,934.9461
2021,cuttlefish,others,709.12442
2022,cuttlefish,others,943.95761
2002,herring,others,6.142
2003,herring,others,1.79031
2004,herring,others,0.367
2005,herring,others,1.38714
2006,herring,others,2.13837
2007,herring,others,1.28599
2008,herring,others,1.27913
2009,herring,others,6.84889
2010,herring,others,2.98514
2011,herring,others,9.21203
2012,herring,others,6.29599
2013,herring,others,9.87648
2014,herring,others,13.14701
2015,herring,others,11.58261
2016,herring,others,18.22822
2017,herring,others,40.3041
2018,herring,others,84.88593
2019,herring,others,33.85858
2020,herring,others,27.90996
2021,herring,others,44.06713
2022,herring,others,61.65122
2002,horseMackerel,others,2.77011
2003,horseMackerel,others,0.9364
2004,horseMackerel,others,0.79326
2005,horseMackerel,others,7.37873
2006,horseMackerel,others,4.39294
2007,horseMackerel,others,12.62481
2008,horseMackerel,others,23.35432
2009,horseMackerel,others,38.09442
2010,horseMackerel,others,26.49657
2011,horseMackerel,others,38.4371
2012,horseMackerel,others,18.66803
2013,horseMackerel,others,13.58119
2014,horseMackerel,others,18.58023
2015,horseMackerel,others,33.45669
2016,horseMackerel,others,53.74715
2017,horseMackerel,others,88.45366
2018,horseMackerel,others,96.41312
2019,horseMackerel,others,50.98248
2020,horseMackerel,others,80.55255
2021,horseMackerel,others,77.1645
2022,horseMackerel,others,91.63645
2002,mackerel,others,17.86399
2003,mackerel,others,21.03268
2004,mackerel,others,23.37986
2005,mackerel,others,63.83798
2006,mackerel,others,27.5854
2007,mackerel,others,44.8959
2008,mackerel,others,58.84108
2009,mackerel,others,34.43644
2010,mackerel,others,37.65479
2011,mackerel,others,69.68799
2012,mackerel,others,68.01255
2013,mackerel,others,35.83034
2014,mackerel,others,39.05828
2015,mackerel,others,54.25345
2016,mackerel,others,148.06904
2017,mackerel,others,225.33569
2018,mackerel,others,300.27685
2019,mackerel,others,228.76824
2020,mackerel,others,413.74109
2021,mackerel,others,421.66109
2022,mackerel,others,530.71743
2002,redMullet,others,3.32558
2003,redMullet,others,8.61906
2004,redMullet,others,9.33021
2005,redMullet,others,3.37122
2006,redMullet,others,1.3061
2007,redMullet,others,184.30078
2008,redMullet,others,257.05618
2009,redMullet,others,117.73567
2010,redMullet,others,45.39017
2011,redMullet,others,28.18028
2012,redMullet,others,14.90848
2013,redMullet,others,7.04091
2014,redMullet,others,84.60625
2015,redMullet,others,237.01922
2016,redMullet,others,147.50762
2017,redMullet,others,176.28643
2018,redMullet,others,180.15485
2019,redMullet,others,439.29271
2020,redMullet,others,290.80204
2021,redMullet,others,248.06707
2022,redMullet,others,346.30132
2002,sardine,others,0.11157
2003,sardine,others,0.16283
2004,sardine,others,0.07754
2005,sardine,others,1.32764
2006,sardine,others,1.81704
2007,sardine,others,0.60464
2008,sardine,others,1.98772
2009,sardine,others,0.08944
2010,sardine,others,3.46652
2011,sardine,others,1.99143
2012,sardine,others,1.16595
2013,sardine,others,1.08559
2014,sardine,others,1.72241
2015,sardine,others,17.62038
2016,sardine,others,2.3122
2017,sardine,others,8.06008
2018,sardine,others,13.43872
2019,sardine,others,29.87734
2020,sardine,others,18.15122
2021,sardine,others,12.78515
2022,sardine,others,43.69318
2002,plaice,others,127.19197
2003,plaice,others,162.21751
2004,plaice,others,153.92911
2005,plaice,others,226.67634
2006,plaice,others,136.39035
2007,plaice,others,121.09077
2008,plaice,others,114.3068
2009,plaice,others,153.52799
2010,plaice,others,135.86942
2011,plaice,others,160.8827
2012,plaice,others,134.00392
2013,plaice,others,165.84928
2014,plaice,others,151.87508
2015,plaice,others,133.23565
2016,plaice,others,209.84895
2017,plaice,others,176.23509
2018,plaice,others,166.92154
2019,plaice,others,131.75777
2020,plaice,others,95.69413
2021,plaice,others,71.32287
2022,plaice,others,68.63591
2002,thornbackRay,others,0.9803
2003,thornbackRay,others,5.97819
2004,thornbackRay,others,7.95393
2005,thornbackRay,others,2.29143
2006,thornbackRay,others,2.73583
2007,thornbackRay,others,4.03317
2008,thornbackRay,others,5.57651
2009,thornbackRay,others,14.71863
2010,thornbackRay,others,23.09777
2011,thornbackRay,others,16.16945
2012,thornbackRay,others,25.5812
2013,thornbackRay,others,28.06955
2014,thornbackRay,others,37.90721
2015,thornbackRay,others,57.28476
2016,thornbackRay,others,64.24272
2017,thornbackRay,others,58.72356
2018,thornbackRay,others,84.00204
2019,thornbackRay,others,88.86731
2020,thornbackRay,others,112.51603
2021,thornbackRay,others,163.82148
2022,thornbackRay,others,172.45886
2002,sole,others,43.74691
2003,sole,others,61.93493
2004,sole,others,106.25002
2005,sole,others,146.71557
2006,sole,others,61.94834
2007,sole,others,35.3932
2008,sole,others,54.06374
2009,sole,others,129.48221
2010,sole,others,88.52457
2011,sole,others,96.83149
2012,sole,others,102.71456
2013,sole,others,125.21465
2014,sole,others,77.55801
2015,sole,others,96.45609
2016,sole,others,83.85199
2017,sole,others,72.24703
2018,sole,others,71.7383
2019,sole,others,27.75135
2020,sole,others,15.67104
2021,sole,others,24.69762
2022,sole,others,17.91179
2002,squids,others,7.96865
2003,squids,others,16.52943
2004,squids,others,5.23822
2005,squids,others,6.02919
2006,squids,others,9.69485
2007,squids,others,36.145
2008,squids,others,84.28288
2009,squids,others,81.04842
2010,squids,others,71.54372
2011,squids,others,63.95707
2012,squids,others,33.12609
2013,squids,others,33.72895
2014,squids,others,92.37306
2015,squids,others,113.3016
2016,squids,others,120.32146
2017,squids,others,326.51356
2018,squids,others,249.03553
2019,squids,others,203.82412
2020,squids,others,108.54705
2021,squids,others,152.08252
2022,squids,others,346.1684
2002,lesserSpottedDogfish,others,190.29715
2003,lesserSpottedDogfish,others,144.87284
2004,lesserSpottedDogfish,others,129.92496
2005,lesserSpottedDogfish,others,74.28345
2006,lesserSpottedDogfish,others,65.85038
2007,lesserSpottedDogfish,others,92.44129
2008,lesserSpottedDogfish,others,103.21859
2009,lesserSpottedDogfish,others,65.18846
2010,lesserSpottedDogfish,others,78.75273
2011,lesserSpottedDogfish,others,64.30457
2012,lesserSpottedDogfish,others,55.82192
2013,lesserSpottedDogfish,others,44.51024
2014,lesserSpottedDogfish,others,44.15457
2015,lesserSpottedDogfish,others,51.90319
2016,lesserSpottedDogfish,others,66.76835
2017,lesserSpottedDogfish,others,70.39143
2018,lesserSpottedDogfish,others,60.76824
2019,lesserSpottedDogfish,others,71.08339
2020,lesserSpottedDogfish,others,67.29043
2021,lesserSpottedDogfish,others,76.03219
2022,lesserSpottedDogfish,others,116.07663
2002,whiting,others,14.99797
2003,whiting,others,5.94136
2004,whiting,others,3.61955
2005,whiting,others,4.48523
2006,whiting,others,1.70323
2007,whiting,others,23.9126
2008,whiting,others,89.86448
2009,whiting,others,70.21628
2010,whiting,others,116.7566
2011,whiting,others,137.63262
2012,whiting,others,82.10067
2013,whiting,others,111.47752
2014,whiting,others,74.58496
2015,whiting,others,184.09352
2016,whiting,others,324.49872
2017,whiting,others,354.96894
2018,whiting,others,606.492
2019,whiting,others,460.21535
2020,whiting,others,280.19877
2021,whiting,others,443.3146
2022,whiting,others,453.28007
2002,pouting,trawlers_dem,2038.07569
2003,pouting,trawlers_dem,2067.93515
2004,pouting,trawlers_dem,1704.49812
2005,pouting,trawlers_dem,1627.37845
2006,pouting,trawlers_dem,1695.24158
2007,pouting,trawlers_dem,1667.57302
2008,pouting,trawlers_dem,1618.85631
2009,pouting,trawlers_dem,1842.22038
2010,pouting,trawlers_dem,2057.72865
2011,pouting,trawlers_dem,2039.5722
2012,pouting,trawlers_dem,1544.32211
2013,pouting,trawlers_dem,1149.52465
2014,pouting,trawlers_dem,989.04261
2015,pouting,trawlers_dem,744.76094
2016,pouting,trawlers_dem,957.60075
2017,pouting,trawlers_dem,1012.69797
2018,pouting,trawlers_dem,899.15639
2019,pouting,trawlers_dem,941.23735
2020,pouting,trawlers_dem,659.6378
2021,pouting,trawlers_dem,642.4824
2022,pouting,trawlers_dem,765.91277
2002,cod,trawlers_dem,2035.64914
2003,cod,trawlers_dem,969.64189
2004,cod,trawlers_dem,475.44095
2005,cod,trawlers_dem,585.01962
2006,cod,trawlers_dem,611.79547
2007,cod,trawlers_dem,1248.819
2008,cod,trawlers_dem,847.57255
2009,cod,trawlers_dem,1129.34371
2010,cod,trawlers_dem,1712.85702
2011,cod,trawlers_dem,732.97325
2012,cod,trawlers_dem,566.77552
2013,cod,trawlers_dem,463.76553
2014,cod,trawlers_dem,791.18378
2015,cod,trawlers_dem,611.58267
2016,cod,trawlers_dem,146.30851
2017,cod,trawlers_dem,52.73152
2018,cod,trawlers_dem,20.07073
2019,cod,trawlers_dem,8.93443
2020,cod,trawlers_dem,4.42236
2021,cod,trawlers_dem,1.66518
2022,cod,trawlers_dem,13.8269
2002,cuttlefish,trawlers_dem,2.86496
2003,cuttlefish,trawlers_dem,2.74293
2004,cuttlefish,trawlers_dem,11.19162
2005,cuttlefish,trawlers_dem,6.51354
2006,cuttlefish,trawlers_dem,9.7605
2007,cuttlefish,trawlers_dem,17.20612
2008,cuttlefish,trawlers_dem,1303.52462
2009,cuttlefish,trawlers_dem,872.40854
2010,cuttlefish,trawlers_dem,1941.62165
2011,cuttlefish,trawlers_dem,2005.40383
2012,cuttlefish,trawlers_dem,1899.35554
2013,cuttlefish,trawlers_dem,772.3992
2014,cuttlefish,trawlers_dem,723.63646
2015,cuttlefish,trawlers_dem,1387.54247
2016,cuttlefish,trawlers_dem,1076.13573
2017,cuttlefish,trawlers_dem,1559.75554
2018,cuttlefish,trawlers_dem,809.07196
2019,cuttlefish,trawlers_dem,1373.24267
2020,cuttlefish,trawlers_dem,1272.14476
2021,cuttlefish,trawlers_dem,972.96758
2022,cuttlefish,trawlers_dem,2388.18896
2002,herring,trawlers_dem,456.19431
2003,herring,trawlers_dem,396.73242
2004,herring,trawlers_dem,421.3894
2005,herring,trawlers_dem,552.54199
2006,herring,trawlers_dem,463.08075
2007,herring,trawlers_dem,429.09526
2008,herring,trawlers_dem,696.09081
2009,herring,trawlers_dem,661.25124
2010,herring,trawlers_dem,635.88984
2011,herring,trawlers_dem,514.34354
2012,herring,trawlers_dem,567.84491
2013,herring,trawlers_dem,378.50498
2014,herring,trawlers_dem,217.84909
2015,herring,trawlers_dem,197.44888
2016,herring,trawlers_dem,136.69982
2017,herring,trawlers_dem,136.4154
2018,herring,trawlers_dem,156.0426
2019,herring,trawlers_dem,149.71244
2020,herring,trawlers_dem,137.29522
2021,herring,trawlers_dem,167.09734
2022,herring,trawlers_dem,109.96715
2002,horseMackerel,trawlers_dem,466.8813
2003,horseMackerel,trawlers_dem,559.26443
2004,horseMackerel,trawlers_dem,490.0329
2005,horseMackerel,trawlers_dem,504.84741
2006,horseMackerel,trawlers_dem,584.3592
2007,horseMackerel,trawlers_dem,658.76872
2008,horseMackerel,trawlers_dem,469.92488
2009,horseMackerel,trawlers_dem,544.01355
2010,horseMackerel,trawlers_dem,423.73345
2011,horseMackerel,trawlers_dem,512.4533
2012,horseMackerel,trawlers_dem,532.16647
2013,horseMackerel,trawlers_dem,436.49218
2014,horseMackerel,trawlers_dem,401.95313
2015,horseMackerel,trawlers_dem,275.72995
2016,horseMackerel,trawlers_dem,308.25151
2017,horseMackerel,trawlers_dem,201.67185
2018,horseMackerel,trawlers_dem,225.8973
2019,horseMackerel,trawlers_dem,157.24998
2020,horseMackerel,trawlers_dem,239.74428
2021,horseMackerel,trawlers_dem,150.25047
2022,horseMackerel,trawlers_dem,136.68043
2002,mackerel,trawlers_dem,3881.00639
2003,mackerel,trawlers_dem,5820.22225
2004,mackerel,trawlers_dem,5211.05953
2005,mackerel,trawlers_dem,3468.39365
2006,mackerel,trawlers_dem,3768.67957
2007,mackerel,trawlers_dem,2224.316
2008,mackerel,trawlers_dem,3369.17066
2009,mackerel,trawlers_dem,2593.49257
2010,mackerel,trawlers_dem,2373.47247
2011,mackerel,trawlers_dem,3234.99344
2012,mackerel,trawlers_dem,3073.45487
2013,mackerel,trawlers_dem,1851.53297
2014,mackerel,trawlers_dem,2068.89386
2015,mackerel,trawlers_dem,2505.23107
2016,mackerel,trawlers_dem,3209.12335
2017,mackerel,trawlers_dem,1934.33661
2018,mackerel,trawlers_dem,2322.65707
2019,mackerel,trawlers_dem,1690.9654
2020,mackerel,trawlers_dem,1957.05818
2021,mackerel,trawlers_dem,2063.10052
2022,mackerel,trawlers_dem,1770.57584
2002,redMullet,trawlers_dem,974.41744
2003,redMullet,trawlers_dem,2342.93197
2004,redMullet,trawlers_dem,3079.79927
2005,redMullet,trawlers_dem,1204.1865
2006,redMullet,trawlers_dem,914.89688
2007,redMullet,trawlers_dem,2996.19995
2008,redMullet,trawlers_dem,828.04686
2009,redMullet,trawlers_dem,488.98796
2010,redMullet,trawlers_dem,720.09106
2011,redMullet,trawlers_dem,514.28089
2012,redMullet,trawlers_dem,103.98071
2013,redMullet,trawlers_dem,83.50952
2014,redMullet,trawlers_dem,575.63451
2015,redMullet,trawlers_dem,1245.04319
2016,redMullet,trawlers_dem,258.50531
2017,redMullet,trawlers_dem,499.25777
2018,redMullet,trawlers_dem,334.27854
2019,redMullet,trawlers_dem,755.80157
2020,redMullet,trawlers_dem,315.03427
2021,redMullet,trawlers_dem,288.17799
2022,redMullet,trawlers_dem,324.46867
2002,sardine,trawlers_dem,111.57526
2003,sardine,trawlers_dem,175.62243
2004,sardine,trawlers_dem,101.44235
2005,sardine,trawlers_dem,379.51718
2006,sardine,trawlers_dem,117.08599
2007,sardine,trawlers_dem,229.27627
2008,sardine,trawlers_dem,103.60164
2009,sardine,trawlers_dem,164.69728
2010,sardine,trawlers_dem,57.97046
2011,sardine,trawlers_dem,93.5849
2012,sardine,trawlers_dem,79.04396
2013,sardine,trawlers_dem,154.37276
2014,sardine,trawlers_dem,101.42027
2015,sardine,trawlers_dem,49.63133
2016,sardine,trawlers_dem,74.4066
2017,sardine,trawlers_dem,66.68718
2018,sardine,trawlers_dem,88.91265
2019,sardine,trawlers_dem,98.85551
2020,sardine,trawlers_dem,100.37742
2021,sardine,trawlers_dem,111.69754
2022,sardine,trawlers_dem,102.08913
2002,plaice,trawlers_dem,3052.44372
2003,plaice,trawlers_dem,2305.55694
2004,plaice,trawlers_dem,2055.98061
2005,plaice,trawlers_dem,1710.22338
2006,plaice,trawlers_dem,1361.7568
2007,plaice,trawlers_dem,1295.28458
2008,plaice,trawlers_dem,1250.68551
2009,plaice,trawlers_dem,1183.40903
2010,plaice,trawlers_dem,1399.38899
2011,plaice,trawlers_dem,1304.62423
2012,plaice,trawlers_dem,1322.67441
2013,plaice,trawlers_dem,1326.95157
2014,plaice,trawlers_dem,1414.25095
2015,plaice,trawlers_dem,1220.61516
2016,plaice,trawlers_dem,936.7895
2017,plaice,trawlers_dem,937.62078
2018,plaice,trawlers_dem,1857.05695
2019,plaice,trawlers_dem,1527.49276
2020,plaice,trawlers_dem,889.01763
2021,plaice,trawlers_dem,618.82497
2022,plaice,trawlers_dem,487.94271
2002,thornbackRay,trawlers_dem,119.33652
2003,thornbackRay,trawlers_dem,124.31188
2004,thornbackRay,trawlers_dem,108.99945
2005,thornbackRay,trawlers_dem,137.53377
2006,thornbackRay,trawlers_dem,81.74474
2007,thornbackRay,trawlers_dem,142.91096
2008,thornbackRay,trawlers_dem,61.83135
2009,thornbackRay,trawlers_dem,294.36862
2010,thornbackRay,trawlers_dem,421.44732
2011,thornbackRay,trawlers_dem,414.8041
2012,thornbackRay,trawlers_dem,632.25975
2013,thornbackRay,trawlers_dem,697.63086
2014,thornbackRay,trawlers_dem,744.23071
2015,thornbackRay,trawlers_dem,598.20857
2016,thornbackRay,trawlers_dem,608.92602
2017,thornbackRay,trawlers_dem,613.92131
2018,thornbackRay,trawlers_dem,802.12583
2019,thornbackRay,trawlers_dem,884.23931
2020,thornbackRay,trawlers_dem,960.33325
2021,thornbackRay,trawlers_dem,949.31973
2022,thornbackRay,trawlers_dem,773.6608
2002,sole,trawlers_dem,1470.86284
2003,sole,trawlers_dem,1566.07064
2004,sole,trawlers_dem,1301.18524
2005,sole,trawlers_dem,928.0336
2006,sole,trawlers_dem,1027.04957
2007,sole,trawlers_dem,1118.55659
2008,sole,trawlers_dem,1067.27027
2009,sole,trawlers_dem,876.24928
2010,sole,trawlers_dem,849.59114
2011,sole,trawlers_dem,782.17168
2012,sole,trawlers_dem,802.68539
2013,sole,trawlers_dem,794.08452
2014,sole,trawlers_dem,693.46518
2015,sole,trawlers_dem,611.79489
2016,sole,trawlers_dem,406.44369
2017,sole,trawlers_dem,374.68827
2018,sole,trawlers_dem,533.41514
2019,sole,trawlers_dem,512.60837
2020,sole,trawlers_dem,544.43711
2021,sole,trawlers_dem,486.27241
